id,display_name,functional_name,category,scope,trigger_type,condition_type,condition_value,badge_grade,description
sevent_early_start,얼리버드,시즌 얼리버드,시즌한정이벤트,seasonal,session,season_first_run_within_days,"{""days"": 1}",special,시즌 시작일 다음 날까지 첫 러닝을 완료하면 획득
sevent_season_pb,시즌PB,시즌 내 PB 경신,시즌한정이벤트,seasonal,session,season_pb_achieved,{},special,그 시즌 안에서 개인 최고기록(PB)을 새로 세우면 획득
sevent_best_week,베스트위크,시즌 최고 주간거리 경신,시즌한정이벤트,seasonal,cumulative,season_best_week_distance_pb,{},special,그 시즌 안에서 개인 주간 누적거리 최고 기록을 경신하면 획득
sevent_challenge_complete,챌린지클리어,시즌 챌린지 완주,시즌한정이벤트,seasonal,cumulative,season_challenge_completed,{},special,그 시즌 중 설정한 개인 챌린지(GM-09)를 완료하면 획득
sevent_rank_rising_3w,라이징스타,주간 랭킹 3주 연속 상승,시즌한정이벤트,seasonal,cumulative,season_weekly_rank_rising_streak_gte,"{""weeks"": 3}",special,같은 시즌 내에서 주간 티어 내 순위가 3주 연속 상승하면 획득
sevent_tier_early,조기졸업,시즌 조기 만렙,시즌한정이벤트,seasonal,cumulative,season_max_tier_reached_before_pct,"{""pct"": 50}",special,시즌 진행률 50% 이전에 해당 시즌 최고 티어(플래티넘)를 달성하면 획득
sevent_comeback,컴백러너,시즌 컴백,시즌한정이벤트,seasonal,session,season_comeback_run,"{""gapWeeks"": 4}",special,4주 이상 공백 후 해당 시즌에 복귀해 러닝하면 획득
sevent_first_long_distance,시즌첫롱런,시즌 첫 롱런,시즌한정이벤트,seasonal,session,season_first_long_distance,"{""distanceKm"": 21.1}",special,그 시즌 안에서 처음으로 하프마라톤 이상 거리를 완주하면 획득
sevent_start_dash_3w,스타트대시,시즌 스타트 대시,시즌한정이벤트,seasonal,cumulative,season_start_streak_weeks_gte,"{""weeks"": 3}",special,시즌 시작 후 첫 3주 연속으로 매주 러닝하면 획득
sevent_streak_4w,불씨,시즌 내 4주 연속 러닝,시즌한정이벤트,seasonal,cumulative,season_streak_weeks_gte,"{""weeks"": 4}",bronze,해당 시즌 내에서 4주 연속 러닝(시즌 경계 밖 스트릭은 미포함)하면 획득
sevent_streak_8w,불꽃,시즌 내 8주 연속 러닝,시즌한정이벤트,seasonal,cumulative,season_streak_weeks_gte,"{""weeks"": 8}",silver,해당 시즌 내에서 8주 연속 러닝(시즌 경계 밖 스트릭은 미포함)하면 획득
sevent_streak_12w,완전연소,시즌 내 12주 연속 러닝,시즌한정이벤트,seasonal,cumulative,season_streak_weeks_gte,"{""weeks"": 12}",platinum,해당 시즌 내에서 12주 연속 러닝(시즌 경계 밖 스트릭은 미포함)하면 획득
